freq [MHz],dB
20,0.33
41.92,0
58.78,-0.5
65.92,-1
70.06,-1.5
72.44,-2
74.07,-2.5
75.18,-3
76.07,-3.5
76.75,-4
77.32,-4.5
77.84,-5
78.25,-5.5
78.62,-6
78.99,-6.5
79.26,-7
79.52,-7.5
79.79,-8
80.04,-8.5
80.22,-9
80.4,-9.5
80.58,-10
82.75,-20
84.5,-30
85.55,-33
88,-34
89.11,-35
90.78,-38
91.92,-41
92.82,-44
93.81,-47
94.35,-48
95.52,-49
99.8,-45
100.13,-44
101.86,-41
103.84,-38
104.84,-35
107.46,-25
110.72,-15
116.66,-5
117.31,-4.5
118.07,-4
119.05,-3.5
120.32,-3
122.15,-2.5
125.02,-2
130.96,-1.5
146.73,-1
325.99,-1.5
423.25,-2
531,-2.5
623.98,-3
694.77,-3.5
821.29,-4
973.78,-3.5
1000,-4.6
